"","","sessions_pers","date","type"
"Chrome","999","84.88","03.12.2018","Browser"
"Firefox","84","7.14","03.12.2018","Browser"
"Safari","39","3.31","03.12.2018","Browser"
"Edge","35","2.97","03.12.2018","Browser"
"Internet Explorer","11","0.93","03.12.2018","Browser"
"Opera","7","0.59","03.12.2018","Browser"
"Amazon Silk","1","0.08","03.12.2018","Browser"
"YaBrowser","1","0.08","03.12.2018","Browser"
"Windows","828","70.35","03.12.2018","OS"
"Macintosh","308","26.17","03.12.2018","OS"
"Linux","18","1.53","03.12.2018","OS"
"iOS","11","0.93","03.12.2018","OS"
"Android","10","0.85","03.12.2018","OS"
"Chrome OS","2","0.17","03.12.2018","OS"
"Chrome","854","85.14","26.11.2018","Browser"
"Firefox","61","6.08","26.11.2018","Browser"
"Safari","40","3.99","26.11.2018","Browser"
"Edge","34","3.39","26.11.2018","Browser"
"Internet Explorer","10","1.00","26.11.2018","Browser"
"Opera","3","0.30","26.11.2018","Browser"
"YaBrowser","1","0.10","26.11.2018","Browser"
"Windows","723","72.08","26.11.2018","OS"
"Macintosh","245","24.43","26.11.2018","OS"
"Linux","18","1.79","26.11.2018","OS"
"iOS","11","1.10","26.11.2018","OS"
"Chrome OS","4","0.40","26.11.2018","OS"
"Android","2","0.20","26.11.2018","OS"
"Chrome","998","87.24","10.12.2018","Browser"
"Firefox","51","4.46","10.12.2018","Browser"
"Edge","35","3.06","10.12.2018","Browser"
"Safari","34","2.97","10.12.2018","Browser"
"Internet Explorer","19","1.66","10.12.2018","Browser"
"Opera","6","0.52","10.12.2018","Browser"
"YaBrowser","1","0.09","10.12.2018","Browser"
"Windows","787","68.79","10.12.2018","OS"
"Macintosh","311","27.19","10.12.2018","OS"
"Linux","25","2.19","10.12.2018","OS"
"iOS","17","1.49","10.12.2018","OS"
"Android","4","0.35","10.12.2018","OS"
