"﻿Страна","Сеансы","Новые сеансы, %","Новые пользователи","Показатель отказов","Страниц/сеанс","Сред. длительность сеанса","Edit Chart (Коэффициент конверсии для цели 1)","Edit Chart (Достигнутые переходы к цели 1)","Edit Chart (Ценность цели 1)","Data","Test","Year"
"United States","208","27,88 %","58","19,23 %","5,22","00:28:06","24,52 %","51","0,00 $","30.11.2018","1001.24","1980"
"Brazil","131","32,82 %","43","14,50 %","6,10","00:08:32","35,11 %","46","0,00 $","30.11.2018","1002.24","1981"
"United Kingdom","129","22,48 %","29","11,63 %","2,50","00:05:55","17,05 %","22","0,00 $","30.11.2018","1003.24","1982"
"Belarus","117","7,69 %","9","18,80 %","5,24","00:19:50","19,66 %","23","0,00 $","30.11.2018","1004.24","1983"
"India","58","8,62 %","5","15,52 %","3,24","00:05:46","3,45 %","2","0,00 $","30.11.2018","1005.24","1984"
"Switzerland","34","20,59 %","7","29,41 %","3,65","00:36:48","17,65 %","6","0,00 $","30.11.2018","1006.24","1985"
"France","33","18,18 %","6","18,18 %","3,58","00:03:56","27,27 %","9","0,00 $","30.11.2018","1007.24","1986"
"Mexico","28","17,86 %","5","0,00 %","9,96","00:16:12","39,29 %","11","0,00 $","30.11.2018","1008.24","1987"
"Australia","27","18,52 %","5","18,52 %","5,11","00:08:20","25,93 %","7","0,00 $","30.11.2018","1009.24","1988"
"Finland","26","15,38 %","4","19,23 %","6,23","00:08:14","30,77 %","8","0,00 $","30.11.2018","1010.24","1989"
"Indonesia","26","34,62 %","9","30,77 %","7,08","00:06:38","26,92 %","7","0,00 $","30.11.2018","1011.24","1990"
"Italy","24","0,00 %","0","0,00 %","4,46","00:07:29","25,00 %","6","0,00 $","30.11.2018","1012.24","1991"
"Russia","24","58,33 %","14","41,67 %","3,50","00:03:11","29,17 %","7","0,00 $","30.11.2018","1013.24","1992"
"Poland","23","21,74 %","5","8,70 %","5,87","00:01:48","17,39 %","4","0,00 $","30.11.2018","1014.24","1993"
"Portugal","22","27,27 %","6","13,64 %","6,50","00:25:34","36,36 %","8","0,00 $","30.11.2018","1015.24","1994"
"Thailand","21","23,81 %","5","14,29 %","2,71","00:08:08","19,05 %","4","0,00 $","30.11.2018","1016.24","1995"
