id;Region1;Region2;Region3;Region4;Topic;IndicatorID;IndicatorName;Unit;Y2017;Y2016;Y2015;Y2014;Y2013;Y2012;Y2011;Y2010;Y2009;Y2008;Y2007;Y2006;Region1id;Region2id;Region3id;Region4id;FinalRegionID;Source
6559102;г. Москва;Арбат;;;Бытовое обслуживание населения;12574;Число кресел в парикмахерских;единица;;;332;332;332;332;238;238;252;189;;;18;6183;;;6183;myData.biz
6559087;г. Москва;Арбат;;;Бытовое обслуживание населения;1;Число объектов бытового обслуживания населения, оказывающих услуги -- всего;единица;;;89;89;89;89;83;83;75;95;;;18;6183;;;6183;myData.biz
6559093;г. Москва;Арбат;;;Бытовое обслуживание населения;14;Число объектов бытового обслуживания населения, оказывающих услуги -- Прочие услуги бытового характера;единица;;;26;26;26;26;23;23;5;10;;;18;6183;;;6183;myData.biz
6559090;г. Москва;Арбат;;;Бытовое обслуживание населения;46283;Число объектов бытового обслуживания населения, оказывающих услуги -- Ремонт и пошив швейных,меховых и кожаных изделий,головных уборов и изделий текстильной галантерии,ремонт,пошив и вязание трикотажных изделий;единица;;;8;8;8;8;7;7;8;10;6;;18;6183;;;6183;myData.biz
6559091;г. Москва;Арбат;;;Бытовое обслуживание населения;46284;Число объектов бытового обслуживания населения, оказывающих услуги -- Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры,бытовых машин и приборов,ремонт и изготовление металлоизделий;единица;;;5;5;5;5;5;5;2;14;1;;18;6183;;;6183;myData.biz
6559089;г. Москва;Арбат;;;Бытовое обслуживание населения;2;Число объектов бытового обслуживания населения, оказывающих услуги -- Ремонт, окраска и пошив обуви;единица;;;2;2;2;2;2;2;9;15;9;;18;6183;;;6183;myData.biz
6559088;г. Москва;Арбат;;;Бытовое обслуживание населения;46282;Число объектов бытового обслуживания населения, оказывающих услуги -- услуги парикмахерских;единица;;;40;40;40;40;38;38;42;36;28;;18;6183;;;6183;myData.biz
6559092;г. Москва;Арбат;;;Бытовое обслуживание населения;46286;Число объектов бытового обслуживания населения, оказывающих услуги -- Фотоателье,фото-и кинолаборатории;единица;;;8;8;8;8;8;8;9;10;8;;18;6183;;;6183;myData.biz
6559094;г. Москва;Арбат;;;Бытовое обслуживание населения;15;Число приемных пунктов бытового обслуживания населения, принимающих заказы от населения на оказание услуг -- всего;единица;;;40;40;40;41;39;39;37;58;;;18;6183;;;6183;myData.biz
6559101;г. Москва;Арбат;;;Бытовое обслуживание населения;26;Число приемных пунктов бытового обслуживания населения, принимающих заказы от населения на оказание услуг -- Прочие услуги бытового характера;единица;;;8;8;8;8;7;7;4;7;;;18;6183;;;6183;myData.biz
6559098;г. Москва;Арбат;;;Бытовое обслуживание населения;46287;Число приемных пунктов бытового обслуживания населения, принимающих заказы от населения на оказание услуг -- Ремонт и пошив швейных,меховых и кожаных изделий,головных уборов и изделий текстильной галантерии,ремонт,пошив и вязание трикотажных изделий;единица;;;8;8;8;8;7;7;8;10;6;;18;6183;;;6183;myData.biz
6559099;г. Москва;Арбат;;;Бытовое обслуживание населения;46288;Число приемных пунктов бытового обслуживания населения, принимающих заказы от населения на оказание услуг -- Ремонт и техническое обслуживание бытовой радиоэлектронной аппаратуры,бытовых машин и приборов,ремонт и изготовление металлоизделий;единица;;;4;4;4;5;5;5;4;7;1;;18;6183;;;6183;myData.biz
6559097;г. Москва;Арбат;;;Бытовое обслуживание населения;16;Число приемных пунктов бытового обслуживания населения, принимающих заказы от населения на оказание услуг -- Ремонт, окраска и пошив обуви;единица;;;2;2;2;2;2;2;5;15;9;;18;6183;;;6183;myData.biz
6559096;г. Москва;Арбат;;;Бытовое обслуживание населения;21;Число приемных пунктов бытового обслуживания населения, принимающих заказы от населения на оказание услуг -- услуги прачечных;единица;;;9;9;9;9;9;9;8;7;2;;18;6183;;;6183;myData.biz
6559100;г. Москва;Арбат;;;Бытовое обслуживание населения;46289;Число приемных пунктов бытового обслуживания населения, принимающих заказы от населения на оказание услуг -- Фотоателье,фото-и кинолаборатории;единица;;;;;;;;;;5;8;;18;6183;;;6183;myData.biz
6559095;г. Москва;Арбат;;;Бытовое обслуживание населения;20;Число приемных пунктов бытового обслуживания населения, принимающих заказы от населения на оказание услуг -- химическая чистка и крашение;единица;;;9;9;9;9;9;9;8;7;6;;18;6183;;;6183;myData.biz
